place, lat, lng
cayala,14.60804486286022,-90.48687551400758
aeropuerto,14.587946976790088, -90.53178273779758
pradera z10,14.580313237979622, -90.49484527177886
okland_mall, 14.598549917833259, -90.50747757547174
design center,14.59884062655711, -90.50855045900505
fontabella,14.599567396685941, -90.51242356856034
club italiano,14.60376704285681, -90.51339989281644
palacion nacional,14.642467419366442, -90.51300241550342
bam z14,14.578927688707427, -90.51674032706369
cc parque las americas,14.58972187808293, -90.51933494129797
iglesia nuestra señota de Guadalupe,14.589137568266327, -90.5054235644991
cc los proceres,14.594348925221041, -90.51576938585048
unicentro, 14.59264340379713, -90.51234253656304
real intercontinental,14.598115238199433, -90.51408859801386
joselito, 14.603989610153977, -90.52259044815547
parque de la industria,14.609279568935591, -90.52355322971049
jardin botanico, 14.614798360363038, -90.51352561553254
conquistador hotel,14.619772259666307, -90.51597336517973
gold san isidro,14.596220246205387, -90.4681443392971
centro medico militar,14.627517107200452, -90.4636731174449
tikal futura,14.624990785482778, -90.55603486485379
cementerio las flores,14.649646481565945, -90.60336705225944
